,Unnamed: 0,Year,Make,Model,Price,Mileage,URL,Retail,Upper,Lower,Return,ROI
22,24,2006,Honda,civic,2199,206000,https://www.facebook.com/marketplace/item/2717040178448781/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227304977409560499%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7304977409560499%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A25%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0026039968031663%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227304977409560499%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6006.94,7067.93,4945.95,3807.94,2.73
7,7,2008,Honda,civic,6500,85000,https://www.facebook.com/marketplace/item/920038283162510/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227190024014376732%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7190024014376732%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429594082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227190024014376732%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,9266.31,10327.3,8205.32,2766.31,1.43
16,17,2007,Honda,civic,3000,238000,https://www.facebook.com/marketplace/item/927520495430221/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227878862078796947%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7878862078796947%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429609082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227878862078796947%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5276.81,6337.8,4215.82,2276.81,1.76
19,21,2007,Honda,civic,1700,300000,https://www.facebook.com/marketplace/item/404143162024849/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227124847404264477%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7124847404264477%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A22%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0038870898978108%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227124847404264477%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,3973.47,5034.46,2912.48,2273.47,2.34
2,2,2006,Honda,civic,3500,221000,https://www.facebook.com/marketplace/item/411055388170174/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%226849775551793985%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6849775551793985%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040702341426585%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226849775551793985%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5659.09,6720.08,4598.1,2159.09,1.62
69,73,2008,Honda,civic,5000,170000,https://www.facebook.com/marketplace/item/197233833438119/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512170759729555299%22%2C%22mf_story_key%22%3A%226822142321211657%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6822142321211657%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A74%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717870558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226822142321211657%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6886.69,7947.68,5825.7,1886.69,1.38
14,15,2007,Honda,civic,2800,270000,https://www.facebook.com/marketplace/item/716794813919314/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227939205009429371%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7939205009429371%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0055578127803232%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227939205009429371%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,4588.02,5649.01,3527.03,1788.02,1.64
41,44,2006,Honda,civic,3000,267000,https://www.facebook.com/marketplace/item/366790159464146/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171103327525019%22%2C%22mf_story_key%22%3A%227086706904759657%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7086706904759657%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A45%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717920558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227086706904759657%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,4651.03,5712.02,3590.04,1651.03,1.55
53,56,2007,Honda,civic,3700,238000,https://www.facebook.com/marketplace/item/354182523998134/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512170828398119376%22%2C%22mf_story_key%22%3A%2224533371962943930%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24533371962943930%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A57%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.003403989961302%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224533371962943930%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5276.81,6337.8,4215.82,1576.81,1.43
55,58,2008,Honda,civic,4650,200000,https://www.facebook.com/marketplace/item/1307790503264821/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512170828398119376%22%2C%22mf_story_key%22%3A%2224366889542957471%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24366889542957471%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A59%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429604082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224366889542957471%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6149.03,7210.02,5088.04,1499.03,1.32
45,48,2007,Honda,civic,4000,230000,https://www.facebook.com/marketplace/item/1830531560729965/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171103327525019%22%2C%22mf_story_key%22%3A%226998350110283764%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6998350110283764%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A49%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0034987254844421%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226998350110283764%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5455.19,6516.18,4394.2,1455.19,1.36
47,50,2008,Honda,civic,2500,304000,https://www.facebook.com/marketplace/item/408002081574336/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171103327525019%22%2C%22mf_story_key%22%3A%227479495448801281%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7479495448801281%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A51%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717910558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227479495448801281%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,3893.48,4954.47,2832.49,1393.48,1.56
30,32,2007,Honda,civic,4500,225000,https://www.facebook.com/marketplace/item/1541516816625904/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227125473097573261%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7125473097573261%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A33%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002180304196693%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227125473097573261%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5568.04,6629.03,4507.05,1068.04,1.24
3,3,2008,Honda,civic,4800,213000,https://www.facebook.com/marketplace/item/704542541851125/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227675754765790804%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7675754765790804%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717860558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227675754765790804%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5843.33,6904.32,4782.34,1043.33,1.22
37,39,2010,Honda,civic,5500,185000,https://www.facebook.com/marketplace/item/775455644427362/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171172137780531%22%2C%22mf_story_key%22%3A%2224875448395435620%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24875448395435620%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A40%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429614082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224875448395435620%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6512.01,7573.0,5451.02,1012.01,1.18
34,36,2007,Honda,civic,3100,297000,https://www.facebook.com/marketplace/item/933838241419210/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171172137780531%22%2C%22mf_story_key%22%3A%227242744812439825%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7242744812439825%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A37%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0026588000481368%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227242744812439825%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,4033.74,5094.73,2972.75,933.74,1.3
13,14,2007,Honda,civic,5999,170000,https://www.facebook.com/marketplace/item/869696195170076/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227008263159295562%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7008263159295562%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A15%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717840558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227008263159295562%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6886.69,7947.68,5825.7,887.69,1.15
