,Year,Make,Model,Price,Mileage,URL
0,2009,Honda,civic,6550,182000,https://www.facebook.com/marketplace/item/368812712680337/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227085950778120747%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7085950778120747%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A0%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016868616523684%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227085950778120747%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
1,2006,Honda,civic,5500,215000,https://www.facebook.com/marketplace/item/1844463159357016/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227340577029296581%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7340577029296581%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0030489384874985%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227340577029296581%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
2,2006,Honda,civic,3500,221000,https://www.facebook.com/marketplace/item/411055388170174/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%226849775551793985%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6849775551793985%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040702341426585%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226849775551793985%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
3,2008,Honda,civic,4800,213000,https://www.facebook.com/marketplace/item/704542541851125/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227675754765790804%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7675754765790804%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717860558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227675754765790804%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
4,2006,Honda,civic,5995,201000,https://www.facebook.com/marketplace/item/231790349925151/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%226685296658243091%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6685296658243091%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A4%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0020126106534026%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226685296658243091%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
5,2007,Honda,civic,5500,203000,https://www.facebook.com/marketplace/item/759965735709157/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%226367801663323547%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6367801663323547%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0021198122304594%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226367801663323547%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
6,2010,Honda,civic,10999,96000,https://www.facebook.com/marketplace/item/389396237128044/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%2225106173762330132%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25106173762330132%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0029663567613196%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225106173762330132%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
7,2008,Honda,civic,6500,85000,https://www.facebook.com/marketplace/item/920038283162510/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227190024014376732%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7190024014376732%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429594082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227190024014376732%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
9,2009,Honda,civic,5000,260000,https://www.facebook.com/marketplace/item/1834015697042401/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227734865383198377%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7734865383198377%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A10%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0031950650837756%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227734865383198377%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
10,2009,Honda,civic,10000,130000,https://www.facebook.com/marketplace/item/244590241953545/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227358493957540823%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7358493957540823%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0032403878997054%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227358493957540823%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
